date,candidate,user_count,committee_count,event_count,
2016-11-30T05:00:06,Macron,114623,2501,2259
2016-11-30T06:00:06,Macron,114627,2501,2259
2016-11-30T07:00:06,Macron,114633,2501,2260
2016-11-30T08:00:07,Macron,114641,2501,2261
2016-11-30T09:00:06,Macron,114656,2501,2262
2016-11-30T10:00:06,Macron,114678,2501,2267
2016-11-30T11:00:06,Macron,114702,2500,2270
2016-11-30T12:00:06,Macron,114720,2498,2274
2016-11-30T13:00:06,Macron,114739,2498,2278
2016-11-30T14:00:06,Macron,114768,2498,2281
2016-11-30T15:00:06,Macron,114790,2498,2286
2016-11-30T16:00:06,Macron,114804,2497,2288
2016-11-30T17:00:07,Macron,114826,2501,2292
2016-11-30T18:00:06,Macron,114833,2501,2293
2016-11-30T19:00:06,Macron,114859,2502,2296
2016-11-30T20:00:06,Macron,114890,2502,2298
2016-11-30T21:00:07,Macron,114917,2502,2301
2016-11-30T22:00:06,Macron,114952,2502,2308
2016-11-30T23:00:06,Macron,114989,2502,2311
2016-12-01T00:00:06,Macron,115012,2502,2313
2016-12-01T01:00:06,Macron,115019,2502,2316
2016-12-01T02:00:06,Macron,115022,2502,2316
2016-12-01T03:00:06,Macron,115025,2502,2317
2016-12-01T04:00:06,Macron,115026,2502,2317
2016-12-01T05:00:06,Macron,115026,2502,2317
2016-12-01T06:00:06,Macron,115029,2502,2318
2016-12-01T07:00:05,Macron,115031,2502,2322
2016-12-01T08:00:06,Macron,115034,2502,2322
2016-12-01T09:00:06,Macron,115045,2502,2322
2016-12-01T10:00:06,Macron,115068,2502,2328
2016-12-01T11:00:06,Macron,115094,2502,2332
2016-12-01T12:00:06,Macron,115120,2501,2333
2016-12-01T13:00:06,Macron,115137,2501,2337
2016-12-01T14:00:06,Macron,115158,2501,2342
2016-12-01T15:00:06,Macron,115180,2506,2343
2016-12-01T16:00:08,Macron,115203,2527,2345
2016-12-01T17:00:07,Macron,115223,2527,2348
2016-12-01T18:00:06,Macron,115251,2527,2351
2016-12-01T19:00:06,Macron,115269,2528,2362
2016-12-01T20:00:06,Macron,115291,2528,2365
2016-12-01T21:00:06,Macron,115335,2528,2367
2016-12-01T22:00:06,Macron,115362,2528,2368
2016-12-01T23:00:06,Macron,115366,2528,2370
2016-12-02T00:00:06,Macron,115370,2528,2373
2016-12-02T01:00:06,Macron,115372,2528,2374
2016-12-02T02:00:06,Macron,115373,2528,2375
2016-12-02T03:00:06,Macron,115373,2528,2375
2016-12-02T04:00:06,Macron,115376,2528,2375
2016-12-02T05:00:06,Macron,115376,2528,2375
2016-12-02T06:00:06,Macron,115378,2528,2376
2016-12-02T07:00:06,Macron,115378,2528,2376
2016-12-02T08:00:06,Macron,115379,2528,2378
2016-12-02T09:00:06,Macron,115385,2528,2381
2016-12-02T10:00:06,Macron,115385,2528,2384
2016-12-02T11:00:06,Macron,115398,2529,2389
2016-12-02T12:00:07,Macron,115417,2529,2394
2016-12-02T13:00:06,Macron,115428,2529,2398
2016-12-02T14:00:06,Macron,115447,2529,2401
2016-12-02T15:00:06,Macron,115470,2529,2404
2016-12-02T16:00:06,Macron,115481,2556,2405
2016-12-02T17:00:06,Macron,115500,2556,2408
2016-12-02T18:00:06,Macron,115531,2556,2409
2016-12-02T19:00:07,Macron,115563,2555,2412
2016-12-02T20:00:06,Macron,115596,2555,2415
2016-12-02T21:00:06,Macron,115621,2555,2417
2016-12-02T22:00:07,Macron,115646,2614,2419
2016-09-27T12:05:00,Mélenchon,131329,,
2016-10-21T12:05:00,Mélenchon,142287,,
2016-10-27T12:04:00,Mélenchon,143750,,
2016-11-20T12:04:00,Mélenchon,153779,,
2016-11-27T12:07:00,Mélenchon,159686,,
2016-11-28T12:12:00,Mélenchon,160564,,
2016-11-29T12:05:00,Mélenchon,161692,,
2016-12-02T22:20:14,Mélenchon,167632,,
